	MADAR	CPU	CPUbr	CPUwf	CPUsm	CPUsv	CPUpc	CPUmc	CPUmp	CPUbt	CPUml	CCLhc	CKYod	BPLAN	BOR	BPAA	BPAY	STAT	BNCIN	BGIGA	BGE
C	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	0	0	0	0	0	0
E	20	26	26	26	26	26	26	26	25	25	24	22	13	2	4	3	3	3	6	4	1
F	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0
G	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0
H	5	10	10	10	11	11	11	12	11	11	10	10	2	4	7	6	6	7	8	6	2
I	2	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	1	3	3	3
J	10	9	9	9	12	12	12	11	11	11	8	9	8	4	4	4	4	8	7	7	5
K	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
L	2	2	2	2	3	3	3	3	3	3	2	1	0	1	1	1	1	1	3	2	1
M	7	5	5	4	6	5	5	6	6	6	5	6	7	6	6	6	6	7	5	4	4
N	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
O	2	3	3	3	4	3	3	3	3	3	3	3	2	1	1	1	0	1	2	1	1
P	0	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	2	3	3	1
Q	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
R	6	5	8	7	5	6	6	7	7	6	5	4	6	6	6	8	7	9	6	6	4
S	2	1	1	0	2	1	1	1	1	1	1	2	1	1	3	3	3	2	3	2	2
T	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1
U	4	4	4	4	4	4	4	4	4	4	4	5	5	4	5	3	3	5	3	2	4
V	1	2	2	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Other	27	17	18	19	14	17	16	15	15	16	20	19	18	14	17	16	19	16	20	20	19
