COGid	FunCat	Funk	Species	Genes	Alg.-Conn.	BGE	BGIGA	BOR	BPAA	BPLAN	CPUbr	MADAR
No-Hit	-	hypothetical	3	3	0.217	*	*	BOR:CDS:BOR_I05070	*	BPLAN:CDS:BPLAN_I01310	*	MADAR:CDS:MADAR_I02300
No-Hit	-	hypothetical	3	3	0.234	pBGE:CDS:BGE_II00010	*	pBOR:CDS:BOR_II00010	*	pBPLAN:CDS:BPLAN_II00060	*	*
No-Hit	-	hypothetical	3	3	0.272	BGE:CDS:BGE_I05060	*	*	BPAA:CDS:BPAA_I01280	*	CPUbr:CDS:CPUbr_I04730	*
No-Hit	-	hypothetical	3	3	0.174	*	*	BOR:CDS:BOR_I01360	*	BPLAN:CDS:BPLAN_I05070	*	MADAR:CDS:MADAR_I04720
No-Hit	-	hypothetical	7	7	0.282	BGE:CDS:BGE_I05310	BGIGA:CDS:BGIGA_I01040	BOR:CDS:BOR_I05310	BPAA:CDS:BPAA_I01030	BPLAN:CDS:BPLAN_I01060	CPUbr:CDS:CPUbr_I04980	MADAR:CDS:MADAR_I02550
COG0804	E	Urease_alpha_subunit	7	8	0.707	BGE:CDS:BGE_I04990	BGIGA:CDS:BGIGA_I01350	BOR:CDS:BOR_I04990	BPAA:CDS:BPAA_I01400	BPLAN:CDS:BPLAN_I01380,BPLAN:CDS:BPLAN_I01390	CPUbr:CDS:CPUbr_I04660	MADAR:CDS:MADAR_I02220
No-Hit	-	hypothetical	6	6	0.436	BGE:CDS:BGE_I02040	BGIGA:CDS:BGIGA_I04230	BOR:CDS:BOR_I02060	BPAA:CDS:BPAA_I04290	BPLAN:CDS:BPLAN_I04360	CPUbr:CDS:CPUbr_I01930	*
COG1132	V	ABC-type_multidrug_transport_system,_ATPase_and_permease_component	6	6	0.803	BGE:CDS:BGE_I01980	BGIGA:CDS:BGIGA_I04290	BOR:CDS:BOR_I02000	BPAA:CDS:BPAA_I04350	BPLAN:CDS:BPLAN_I04420	*	MADAR:CDS:MADAR_I04090
COG2204	T	DNA-binding_transcriptional_response_regulator,_NtrC_family,_contains_REC,_AAA-type_ATPase,_and_a_Fis-type_DNA-binding_domains	7	7	0.800	BGE:CDS:BGE_I02050	BGIGA:CDS:BGIGA_I04220	BOR:CDS:BOR_I02070	BPAA:CDS:BPAA_I04280	BPLAN:CDS:BPLAN_I04350	CPUbr:CDS:CPUbr_I01940	MADAR:CDS:MADAR_I04030
No-Hit	-	hypothetical	7	7	0.705	BGE:CDS:BGE_I02030	BGIGA:CDS:BGIGA_I04240	BOR:CDS:BOR_I02050	BPAA:CDS:BPAA_I04300	BPLAN:CDS:BPLAN_I04370	CPUbr:CDS:CPUbr_I01920	MADAR:CDS:MADAR_I04040
